task,category,priority,due_date
Call exam,Fitness,Low,2025-06-27
Fix car service,Health,Medium,2025-06-12
Send presentation,Work,High,2025-07-25
Call meeting,Study,High,2025-08-04
Attend report,Finance,High,2025-06-01
Prepare exam,Personal,High,2025-06-28
Plan proposal,Home,High,2025-07-07
Update budget,Personal,Low,2025-07-20
Complete budget,Work,High,2025-07-15
Attend car service,Study,High,2025-06-12
Schedule report,Fitness,High,2025-07-30
Review doctor appointment,Study,Medium,2025-08-12
Send meeting,Work,High,2025-07-03
Buy assignment,Health,High,2025-06-15
Write invoice,Shopping,High,2025-08-01
Review exam,Personal,High,2025-06-03
Research exercise,Finance,Low,2025-07-10
Organize budget,Fitness,Low,2025-07-01
Organize report,Fitness,High,2025-07-31
Send exam,Work,Low,2025-06-15
Organize resume,Fitness,Medium,2025-06-21
Submit car service,Health,Low,2025-08-16
Submit exercise,Home,Medium,2025-06-23
Call car service,Fitness,Low,2025-07-27
Research exercise,Health,High,2025-08-14
Read invoice,Fitness,Low,2025-08-04
Send budget,Finance,Medium,2025-05-22
Prepare presentation,Shopping,High,2025-05-20
Review doctor appointment,Home,Low,2025-06-11
Organize assignment,Finance,High,2025-07-09
Complete report,Study,Low,2025-05-22
Buy budget,Work,Low,2025-07-20
Attend budget,Health,High,2025-07-17
Buy exam,Health,Medium,2025-08-05
Read doctor appointment,Fitness,High,2025-08-11
Fix report,Fitness,Medium,2025-05-21
Organize budget,Personal,Medium,2025-08-12
Write meeting,Home,High,2025-07-26
Clean resume,Personal,Low,2025-06-29
Organize report,Work,Low,2025-06-18
Clean report,Fitness,High,2025-07-03
Research car service,Home,Low,2025-05-22
Clean resume,Finance,High,2025-06-29
Attend report,Home,Medium,2025-06-14
Read email,Study,Medium,2025-05-21
Buy meeting,Study,High,2025-08-07
Plan assignment,Home,Low,2025-07-21
Send exercise,Shopping,Medium,2025-07-18
Schedule car service,Work,Low,2025-07-05
Review resume,Work,Medium,2025-06-09
Organize doctor appointment,Finance,Low,2025-05-21
Prepare lecture notes,Health,Low,2025-07-19
Call presentation,Study,Low,2025-06-10
Schedule meeting,Health,Medium,2025-05-30
Fix email,Shopping,Medium,2025-07-02
Write assignment,Fitness,Medium,2025-06-14
Plan invoice,Study,Medium,2025-06-30
Attend resume,Work,Low,2025-07-18
Send assignment,Finance,Medium,2025-07-16
Organize report,Work,Low,2025-06-16
Schedule exercise,Fitness,Low,2025-06-05
Review resume,Health,High,2025-07-18
Fix car service,Shopping,High,2025-06-22
Send email,Fitness,Medium,2025-07-28
Schedule proposal,Work,Low,2025-08-01
Schedule assignment,Health,Low,2025-06-02
Prepare meeting,Finance,Medium,2025-08-09
Prepare exercise,Shopping,Medium,2025-08-02
Call presentation,Home,High,2025-07-29
Update assignment,Fitness,Medium,2025-07-28
Buy invoice,Home,High,2025-05-23
Fix proposal,Study,Medium,2025-06-30
Plan car service,Home,Medium,2025-08-11
Plan report,Shopping,High,2025-06-19
Clean invoice,Personal,Medium,2025-06-17
Pay email,Fitness,Medium,2025-06-03
Prepare lecture notes,Shopping,Low,2025-06-30
Clean lecture notes,Personal,Low,2025-06-13
Organize presentation,Personal,Medium,2025-06-09
Submit car service,Personal,Low,2025-06-22
Plan report,Shopping,Medium,2025-07-27
Research exam,Personal,Medium,2025-05-24
Pay budget,Shopping,High,2025-06-03
Pay assignment,Fitness,Medium,2025-08-17
Read report,Health,Medium,2025-06-10
Plan invoice,Finance,High,2025-07-02
Send exercise,Personal,Medium,2025-08-01
Attend proposal,Home,High,2025-07-22
Call presentation,Study,High,2025-06-12
Schedule resume,Work,Low,2025-07-15
Complete presentation,Personal,Low,2025-06-12
Organize report,Personal,Medium,2025-06-15
Submit exam,Shopping,High,2025-07-23
Send car service,Finance,High,2025-07-11
Write car service,Shopping,Low,2025-06-22
Fix assignment,Health,Medium,2025-07-20
Plan doctor appointment,Finance,High,2025-06-12
Send report,Home,Medium,2025-07-20
Review proposal,Health,Low,2025-06-07
Research exercise,Work,High,2025-07-23
Submit car service,Home,Medium,2025-06-01
Organize budget,Work,High,2025-06-16
Update invoice,Health,Low,2025-07-11
Buy exercise,Study,Medium,2025-07-02
Organize report,Personal,High,2025-07-03
Prepare proposal,Fitness,Medium,2025-05-20
Read budget,Health,Low,2025-06-21
Organize exercise,Fitness,High,2025-08-02
Clean exercise,Health,Low,2025-06-22
Clean budget,Shopping,High,2025-08-01
Fix exercise,Personal,High,2025-08-08
Prepare exam,Personal,Medium,2025-05-25
Review report,Home,Low,2025-07-26
Pay assignment,Work,High,2025-06-06
Schedule proposal,Study,Low,2025-05-28
Review invoice,Personal,High,2025-08-03
Buy invoice,Finance,Medium,2025-06-03
Submit meeting,Fitness,High,2025-05-21
Call invoice,Home,High,2025-07-19
Research invoice,Shopping,Low,2025-06-12
Update lecture notes,Personal,Low,2025-06-22
Clean invoice,Health,Low,2025-05-22
Send proposal,Fitness,Low,2025-05-24
Prepare email,Personal,Low,2025-07-09
Call proposal,Health,Low,2025-06-26
Complete presentation,Shopping,High,2025-06-14
Buy invoice,Fitness,Low,2025-06-23
Write budget,Study,Medium,2025-06-30
Attend presentation,Health,High,2025-06-20
Schedule report,Finance,High,2025-08-17
Submit meeting,Shopping,Low,2025-07-08
Read lecture notes,Work,High,2025-08-05
Complete lecture notes,Home,Low,2025-06-02
Plan budget,Home,High,2025-06-02
Clean presentation,Finance,High,2025-07-25
Plan presentation,Shopping,High,2025-06-02
Send lecture notes,Health,Medium,2025-07-17
Read lecture notes,Study,Low,2025-05-28
Call budget,Shopping,High,2025-07-20
Organize invoice,Study,Medium,2025-07-01
Fix presentation,Fitness,High,2025-07-13
Complete lecture notes,Finance,Medium,2025-08-03
Review report,Study,High,2025-06-23
Pay doctor appointment,Study,Low,2025-05-28
Send report,Shopping,Medium,2025-06-05
Write lecture notes,Study,Medium,2025-07-11
Review invoice,Personal,Low,2025-08-07
Prepare invoice,Home,Medium,2025-08-05
Schedule assignment,Health,High,2025-06-24
Schedule exercise,Study,Low,2025-06-28
Pay car service,Finance,Low,2025-07-23
Pay doctor appointment,Fitness,Medium,2025-06-18
Buy resume,Study,Low,2025-05-24
Submit exercise,Finance,Low,2025-07-18
Write assignment,Work,High,2025-06-23
Pay doctor appointment,Personal,Medium,2025-07-18
Prepare lecture notes,Finance,Medium,2025-06-11
Submit doctor appointment,Shopping,High,2025-07-24
Submit exam,Finance,Medium,2025-07-22
Call invoice,Work,High,2025-05-21
Research lecture notes,Finance,Medium,2025-07-14
Write report,Health,Medium,2025-06-06
Review car service,Fitness,High,2025-07-18
Schedule email,Shopping,Medium,2025-08-13
Clean presentation,Home,Low,2025-07-01
Prepare resume,Finance,High,2025-07-20
Schedule meeting,Personal,Low,2025-06-04
Schedule budget,Work,Low,2025-08-02
Send exercise,Shopping,Medium,2025-06-01
Plan invoice,Finance,Medium,2025-06-26
Pay report,Home,Low,2025-07-21
Pay invoice,Home,Medium,2025-06-29
Organize exam,Health,Low,2025-07-07
Write exercise,Health,Medium,2025-06-15
Buy lecture notes,Study,Low,2025-07-22
Attend email,Home,High,2025-06-20
Research assignment,Shopping,High,2025-07-02
Plan budget,Shopping,High,2025-07-31
Review doctor appointment,Work,Low,2025-07-03
Update exercise,Fitness,Medium,2025-07-12
Review exam,Fitness,High,2025-07-01
Schedule report,Shopping,Low,2025-06-07
Prepare assignment,Work,Medium,2025-07-04
Clean proposal,Health,Medium,2025-06-18
Send car service,Fitness,Low,2025-05-23
Fix resume,Study,Medium,2025-06-09
Write lecture notes,Fitness,High,2025-06-30
Fix proposal,Shopping,Medium,2025-06-03
Plan meeting,Personal,Medium,2025-07-09
Complete lecture notes,Home,High,2025-06-13
Fix car service,Personal,Low,2025-07-12
Write assignment,Study,Medium,2025-07-30
Organize budget,Personal,High,2025-06-13
Buy report,Home,Low,2025-06-17
Update report,Fitness,Medium,2025-07-09
Fix budget,Fitness,Medium,2025-06-12
Read assignment,Shopping,Medium,2025-08-05
Fix exam,Study,Low,2025-06-27
Read lecture notes,Personal,High,2025-06-29
Plan budget,Study,Medium,2025-07-17
Clean assignment,Fitness,High,2025-07-21
Buy proposal,Health,High,2025-05-26
Plan invoice,Finance,High,2025-06-17
Attend proposal,Shopping,High,2025-05-29
Call presentation,Fitness,Low,2025-07-05
Submit exam,Study,High,2025-06-16
Read resume,Study,High,2025-06-12
Buy doctor appointment,Shopping,Medium,2025-07-07
Prepare exercise,Health,Medium,2025-05-31
Fix meeting,Shopping,High,2025-06-06
Submit exercise,Health,Low,2025-07-14
Organize proposal,Health,Low,2025-06-02
Prepare presentation,Home,High,2025-06-25
Pay car service,Finance,Medium,2025-06-02
Complete budget,Personal,Medium,2025-05-24
Attend lecture notes,Shopping,Medium,2025-07-26
Complete assignment,Home,Low,2025-05-25
Submit lecture notes,Study,High,2025-05-25
Plan car service,Health,High,2025-08-08
Send exercise,Shopping,Medium,2025-07-26
Schedule exercise,Home,Medium,2025-07-17
Read lecture notes,Study,Medium,2025-06-30
Schedule assignment,Fitness,Low,2025-06-30
Send invoice,Shopping,Medium,2025-06-27
Send resume,Shopping,High,2025-07-13
Call doctor appointment,Finance,Medium,2025-07-09
Review exercise,Shopping,Medium,2025-08-15
Plan resume,Fitness,Low,2025-06-25
Prepare assignment,Fitness,Medium,2025-06-03
Fix car service,Health,High,2025-07-14
Plan presentation,Home,High,2025-06-08
Plan proposal,Finance,Low,2025-06-01
Review invoice,Study,Medium,2025-06-29
Fix budget,Work,Low,2025-07-04
Update car service,Fitness,Low,2025-05-25
Schedule invoice,Study,Medium,2025-07-17
Pay meeting,Finance,Low,2025-06-27
Read presentation,Health,High,2025-06-13
Prepare proposal,Study,Medium,2025-05-23
Write doctor appointment,Personal,High,2025-06-26
Attend budget,Fitness,High,2025-05-27
Organize meeting,Study,High,2025-08-14
Read car service,Shopping,Medium,2025-07-28
Read assignment,Personal,Medium,2025-06-10
Prepare doctor appointment,Fitness,Medium,2025-08-14
Submit budget,Home,Medium,2025-08-11
Submit invoice,Study,High,2025-08-17
Research car service,Finance,Low,2025-06-06
Call report,Fitness,High,2025-06-12
Read proposal,Personal,Low,2025-05-30
Plan email,Shopping,Medium,2025-06-17
Send lecture notes,Fitness,Low,2025-07-07
Update resume,Work,High,2025-08-04
Research doctor appointment,Personal,Medium,2025-08-04
Complete doctor appointment,Fitness,High,2025-07-02
Write report,Study,High,2025-07-29
Research email,Fitness,Medium,2025-06-13
Schedule car service,Shopping,High,2025-06-11
Fix invoice,Health,High,2025-06-19
Pay lecture notes,Personal,Medium,2025-07-09
Organize doctor appointment,Health,Low,2025-07-06
Update report,Fitness,Medium,2025-07-20
Buy presentation,Study,High,2025-05-21
Read budget,Finance,High,2025-06-17
Submit doctor appointment,Work,Medium,2025-06-14
Read invoice,Work,Low,2025-08-02
Schedule budget,Home,Low,2025-06-23
Pay lecture notes,Fitness,Medium,2025-07-13
Write proposal,Study,High,2025-06-13
Clean assignment,Shopping,Medium,2025-07-15
Submit doctor appointment,Study,Medium,2025-06-04
Review assignment,Study,Medium,2025-07-22
Complete budget,Personal,Medium,2025-07-07
Plan presentation,Shopping,Low,2025-06-17
Fix doctor appointment,Personal,High,2025-08-15
Attend car service,Work,Medium,2025-05-23
Send invoice,Study,High,2025-06-28
Clean proposal,Finance,Low,2025-06-24
Fix email,Study,Medium,2025-08-03
Call resume,Study,Low,2025-08-08
Clean report,Shopping,High,2025-06-04
Fix exercise,Health,High,2025-05-29
Fix exercise,Personal,High,2025-05-22
Write invoice,Personal,Medium,2025-06-29
Research proposal,Health,Medium,2025-06-26
Send invoice,Work,Low,2025-07-12
Buy car service,Home,Low,2025-06-23
Submit email,Study,Medium,2025-06-30
Research doctor appointment,Finance,Low,2025-08-12
Read email,Study,High,2025-06-25
Organize invoice,Finance,Low,2025-06-07
Fix invoice,Personal,High,2025-07-11
Organize proposal,Personal,Medium,2025-08-13
Submit meeting,Personal,Low,2025-05-21
Prepare presentation,Finance,High,2025-07-14
Attend proposal,Home,Medium,2025-08-02
Read invoice,Home,High,2025-08-02
Prepare email,Finance,Low,2025-06-24
Call proposal,Health,High,2025-05-30
Prepare assignment,Home,High,2025-08-03
Prepare resume,Work,Medium,2025-06-08
Clean proposal,Work,High,2025-06-30
Update report,Fitness,Medium,2025-06-21
Schedule budget,Study,High,2025-07-26
Call lecture notes,Health,Low,2025-08-01
Update doctor appointment,Health,Medium,2025-06-26
Organize lecture notes,Work,Medium,2025-07-03
Complete exercise,Home,High,2025-07-18
Prepare exercise,Health,High,2025-06-13
Complete report,Fitness,High,2025-08-07
Clean budget,Fitness,Medium,2025-07-10
Plan exercise,Home,High,2025-08-11
Submit doctor appointment,Finance,Low,2025-07-31
Complete email,Fitness,High,2025-07-22
Schedule resume,Personal,Low,2025-07-10
Schedule email,Personal,High,2025-06-01
Buy exam,Home,High,2025-07-12
Review proposal,Personal,High,2025-05-27
Attend doctor appointment,Work,Medium,2025-06-08
Read proposal,Health,High,2025-08-11
Update doctor appointment,Finance,Low,2025-06-22
Write email,Home,Medium,2025-07-04
Attend invoice,Shopping,Low,2025-05-24
Send doctor appointment,Finance,Medium,2025-06-30
Write assignment,Home,Low,2025-05-29
Call invoice,Fitness,Medium,2025-08-07
Fix doctor appointment,Personal,High,2025-06-16
Send assignment,Work,Medium,2025-07-10
Clean resume,Study,High,2025-07-30
Write presentation,Shopping,High,2025-07-30
Buy car service,Finance,High,2025-07-31
Update exam,Fitness,Low,2025-07-05
Read proposal,Work,Medium,2025-06-15
Buy assignment,Shopping,Medium,2025-06-21
Plan budget,Shopping,Medium,2025-06-28
Attend exercise,Shopping,High,2025-06-16
Fix meeting,Home,Low,2025-05-20
Call assignment,Work,High,2025-06-20
Plan proposal,Finance,Medium,2025-06-15
Buy budget,Personal,Low,2025-06-29
Submit meeting,Health,High,2025-07-24
Plan budget,Home,Medium,2025-08-11
Prepare exercise,Work,Low,2025-05-29
Pay doctor appointment,Study,High,2025-06-06
Attend exercise,Fitness,Medium,2025-05-27
Read lecture notes,Study,Low,2025-06-04
Send budget,Health,High,2025-07-24
Read doctor appointment,Fitness,Low,2025-08-05
Write resume,Finance,Medium,2025-08-15
Attend proposal,Home,High,2025-07-19
Submit car service,Shopping,High,2025-05-27
Prepare meeting,Fitness,High,2025-07-09
Complete car service,Study,Low,2025-07-25
Write proposal,Fitness,Medium,2025-05-30
Write exercise,Finance,Medium,2025-05-27
Research doctor appointment,Personal,Low,2025-05-24
Organize report,Finance,Low,2025-06-03
Pay budget,Fitness,Medium,2025-06-21
Write invoice,Finance,Low,2025-07-31
Fix email,Home,Low,2025-06-15
Write exam,Fitness,Medium,2025-07-01
Attend email,Health,High,2025-07-26
Submit presentation,Study,High,2025-07-26
Schedule email,Health,Low,2025-06-18
Research proposal,Home,Medium,2025-05-22
Send resume,Personal,Low,2025-07-08
Schedule lecture notes,Study,Low,2025-06-12
Review exam,Finance,Low,2025-07-13
Plan car service,Study,Low,2025-06-12
Write exercise,Finance,Medium,2025-06-16
Pay exercise,Shopping,High,2025-08-05
Fix resume,Fitness,Low,2025-07-02
Update email,Finance,Medium,2025-06-13
Write budget,Health,Medium,2025-08-09
Write presentation,Shopping,High,2025-07-01
Send car service,Shopping,Low,2025-06-24
Fix assignment,Fitness,High,2025-06-14
Write car service,Finance,Low,2025-08-02
Complete meeting,Personal,Medium,2025-06-23
Buy doctor appointment,Fitness,High,2025-07-21
Fix email,Personal,Medium,2025-07-16
Research doctor appointment,Health,Medium,2025-06-09
Buy assignment,Personal,Medium,2025-06-13
Buy invoice,Health,High,2025-07-23
Organize proposal,Health,High,2025-06-18
Read doctor appointment,Finance,High,2025-07-30
Schedule resume,Fitness,Low,2025-07-06
Read budget,Home,High,2025-08-05
Research exercise,Finance,Medium,2025-05-28
Fix report,Finance,High,2025-07-25
Write meeting,Home,High,2025-08-01
Submit assignment,Finance,High,2025-08-04
Review exam,Finance,High,2025-05-20
Review exercise,Personal,Medium,2025-06-12
Review exercise,Study,Medium,2025-08-13
Schedule resume,Finance,High,2025-07-23
Research lecture notes,Fitness,High,2025-06-24
Pay report,Shopping,Medium,2025-06-15
Buy exam,Home,High,2025-05-27
Attend meeting,Home,Medium,2025-06-28
Prepare report,Personal,Low,2025-06-27
Read budget,Study,Low,2025-06-16
Read report,Finance,High,2025-06-27
Fix car service,Home,Medium,2025-06-05
Submit doctor appointment,Shopping,Low,2025-07-26
Buy exercise,Study,High,2025-06-13
Organize email,Study,High,2025-05-24
Plan proposal,Shopping,High,2025-07-15
Plan doctor appointment,Shopping,Low,2025-06-01
Buy lecture notes,Finance,Medium,2025-08-03
Read assignment,Health,Low,2025-07-14
Read report,Health,High,2025-05-27
Write assignment,Study,Low,2025-06-02
Submit report,Finance,Low,2025-06-10
Send car service,Health,Low,2025-06-23
